document_id,version,status,language,domain,topic_name,role_targets,job_levels,difficulty_level,knowledge_summary,knowledge_concepts,expected_points_must_have,common_mistakes,follow_up_questions,deliverables_action_items,is_active,quality_score
int_doc_java_specs_01,1.0.0,approved,vi,backend,java-language-and-jvm-specs,backend-engineer;java-platform-engineer;compiler-engineer,mid;senior,advanced,"Nguồn: https://docs.oracle.com/javase/specs/ - Đặc tả ngôn ngữ Java và JVM để hiểu đúng cú pháp, bytecode và quy tắc thực thi.","Java Language Specification;Java Virtual Machine Specification;Bytecode;Compilation Model","Biết khi nào cần đọc JLS và khi nào cần đọc JVM Spec;Hiểu phạm vi chuẩn hóa của đặc tả;Tra cứu chính xác hành vi ngôn ngữ hoặc runtime","Suy đoán hành vi từ ví dụ thay vì kiểm tra đặc tả;Nhầm lẫn quy tắc của ngôn ngữ với quy tắc của JVM","Khi debug một hành vi khác thường, nên kiểm tra phần nào trước: JLS hay JVM Spec?;Bytecode và source-level behavior khác nhau như thế nào?","Tạo một bảng mapping giữa vấn đề thực tế và chương đặc tả cần đọc để dùng trong code review hoặc debugging.",true,0.99
int_doc_java_api_docs_01,1.0.0,approved,vi,backend,java-api-docs,backend-engineer;java-developer;software-engineer,junior;mid;senior,intermediate,"Nguồn: https://docs.oracle.com/en/java/javase/26/docs/api/index.html - Tài liệu API chuẩn của JDK để tra cứu lớp, interface, method và contract chính xác.","Class Reference;Method Contract;Deprecated API;Module API","Biết cách đọc phần mô tả, tham số, giá trị trả về và lỗi ném ra;Biết kiểm tra API bị deprecated hoặc thay đổi;Dùng API docs để xác nhận contract thay vì đoán","Bỏ qua chú thích về thread-safety, immutability hoặc side effects;Chỉ nhìn tên method mà không đọc contract đầy đủ","Khi nào cần đọc phần 'See Also' và 'Since' trong API docs?;Làm sao nhận biết API nào an toàn để dùng trong production?","Tạo checklist tra cứu API trước khi viết code hoặc review code cho team Java.",true,0.97
int_doc_java_getting_started_01,1.0.0,approved,vi,backend,java-getting-started,backend-engineer;java-developer,junior,beginner,"Nguồn: https://dev.java/learn/getting-started/ - Lộ trình khởi động với Java từ cài JDK, viết class đầu tiên đến chạy ứng dụng đầu tiên.","JDK Installation;Hello World;Java Launcher;IDE Setup","Biết cài JDK và kiểm tra phiên bản;Biết biên dịch và chạy một chương trình Java đơn giản;Biết phân biệt JDK, JRE và JVM ở mức cơ bản","Nhầm JRE với JDK;Không kiểm tra biến môi trường hoặc version của Java sau khi cài đặt","Nên dùng IDE hay dòng lệnh khi mới học Java?;Cách kiểm tra Java đã cài đúng trên máy là gì?","Soạn một checklist onboarding Java cho người mới vào team backend.",true,0.95
int_doc_java_language_basics_01,1.0.0,approved,vi,backend,java-language-basics,backend-engineer;java-developer;junior,junior;mid,beginner,"Nguồn: https://dev.java/learn/language-basics/ - Nền tảng ngôn ngữ Java gồm biến, kiểu dữ liệu, biểu thức, câu lệnh, khối lệnh và control flow.","Variables;Primitive Types;Arrays;var;Operators;Statements;Blocks;Control Flow;Switch Expression","Giải thích cách khai báo biến và kiểu nguyên thủy;Phân biệt var và kiểu tường minh;Hiểu vòng lặp, rẽ nhánh và switch expression","Nhầm lẫn giữa statement và expression;Lạm dụng var khi làm code khó đọc;Không nắm rõ phạm vi biến","Khi nào nên dùng var và khi nào không nên dùng?;switch expression khác gì switch statement?","Tạo bộ câu hỏi phỏng vấn Java cơ bản theo từng mục của Java Language Basics.",true,0.96
int_doc_java_records_01,1.0.0,approved,vi,backend,java-records,backend-engineer;java-developer,mid;senior,intermediate,"Nguồn: https://dev.java/learn/records/ - Học record trong Java để mô hình hóa dữ liệu bất biến ngắn gọn và rõ ràng.","Records;Immutability;Canonical Constructor;Compact Constructor","Biết khi nào nên dùng record thay cho class thường;Hiểu record tự sinh gì và không tự sinh gì;Biết giới hạn của record với trạng thái mutable","Dùng record cho object cần invariants phức tạp nhưng không kiểm soát constructor;Nhầm record là thay thế hoàn toàn cho mọi class","Record có phù hợp cho entity hoặc DTO trong hệ thống thực tế không?;Khi nào nên thêm compact constructor?","Thiết kế một bộ DTO bằng record và xác định chỗ nào vẫn cần class truyền thống.",true,0.94
int_doc_java_stream_api_01,1.0.0,approved,vi,backend,java-stream-api,backend-engineer;java-developer;data-engineer,mid;senior,intermediate,"Nguồn: https://dev.java/learn/api/streams/ - Stream API của Java để xử lý dữ liệu in-memory theo phong cách khai báo và kết hợp collector.","Stream;Intermediate Operations;Terminal Operations;Collectors;Parallel Streams","Phân biệt intermediate và terminal operations;Biết map, filter, reduce, collect;Hiểu khi nào stream là lựa chọn phù hợp và khi nào không","Lạm dụng parallel stream mà không đo hiệu năng;Dùng side effects trong pipeline gây khó debug","findFirst và findAny khác nhau thế nào?;Khi nào nên dùng Collectors.groupingBy?","Viết một loạt bài tập refactor vòng lặp truyền thống sang Stream API.",true,0.96
int_doc_java_virtual_threads_01,1.0.0,approved,vi,backend,java-virtual-threads,backend-engineer;platform-engineer;devops,mid;senior,advanced,"Nguồn: https://dev.java/learn/new-features/virtual-threads/ - Hiểu virtual threads trong Java để thiết kế concurrency hiện đại với chi phí nhẹ hơn thread truyền thống.","Virtual Threads;Concurrency;Scheduler;Blocking I/O;Structured Concurrency","Biết virtual thread giải quyết vấn đề gì;Hiểu khác biệt giữa platform thread và virtual thread;Biết tác động tới blocking I/O và kiến trúc ứng dụng","Cho rằng virtual thread tự động làm code nhanh hơn trong mọi trường hợp;Giữ nguyên tư duy tuning thread pool cũ mà không đánh giá lại","Khi nào virtual threads không đem lại lợi ích rõ rệt?;Virtual threads ảnh hưởng thế nào đến thiết kế web server?","Đề xuất nơi nên thử nghiệm virtual threads trong một service hiện có và tiêu chí đánh giá kết quả.",true,0.98
int_doc_java_modules_01,1.0.0,approved,vi,backend,java-modules,backend-engineer;java-platform-engineer,mid;senior,advanced,"Nguồn: https://dev.java/learn/modules/ - Hiểu module system của Java để tổ chức codebase tốt hơn và đóng gói runtime image khi cần.","Module System;module-info.java;Exports;Requires;JLink","Biết khai báo module-info.java;Hiểu exports, requires và encapsulation;Biết liên hệ modules với maintainability và packaging","Chuyển sang modules mà không lập kế hoạch phụ thuộc;Đánh đồng classpath với module path","Khi nào module system giúp ích rõ nhất trong dự án thật?;jlink khác gì so với đóng gói JAR thông thường?","Lập kế hoạch chuyển một project Java cũ sang module hóa từng bước.",true,0.94
int_doc_java_optional_01,1.0.0,approved,vi,backend,java-optional,backend-engineer;java-developer,junior;mid,intermediate,"Nguồn: https://www.baeldung.com/java-optional - Bài thực hành tốt về Optional để biểu diễn giá trị có thể vắng mặt rõ ràng hơn null trong Java.","Optional;orElse;orElseGet;orElseThrow;map;flatMap","Phân biệt orElse và orElseGet;Biết dùng Optional đúng chỗ trong return value;Hiểu lúc nào không nên lạm dụng Optional","Dùng Optional cho field hoặc parameter một cách tràn lan;Gọi orElse khi giá trị mặc định tốn chi phí tạo ra","Optional có nên dùng trong entity và DTO không?;Khi nào flatMap cần thiết hơn map?","Rà soát lại các chỗ trả về null trong codebase và đề xuất thay thế bằng Optional khi phù hợp.",true,0.93
int_doc_java_streams_series_01,1.0.0,approved,vi,backend,java-streams-series,backend-engineer;java-developer,mid;senior,intermediate,"Nguồn: https://www.baeldung.com/java-streams - Loạt bài Streams thực dụng với ví dụ về pipeline, collectors và pattern phổ biến.","Stream Pipeline;Collectors;findFirst;findAny;GroupingBy;Mapping","Nhận diện được các tình huống dùng streams trong thực tế;Biết các pitfall phổ biến của streams;Biết đọc và refactor code sang style stream dễ hiểu","Biến pipeline stream thành code khó đọc hoặc khó debug;Không chú ý tới hiệu năng và độ phức tạp khi dùng streams","Khi nào nên chọn stream thay vì for-loop truyền thống?;Có nên dùng parallel stream trong service backend không?","Chọn 3 bài tập trong series và viết lại thành ví dụ ngắn gọn phục vụ training nội bộ.",true,0.89
int_doc_java_17_new_features_01,1.0.0,approved,vi,backend,java-17-new-features,backend-engineer;java-developer;software-engineer,mid;senior,intermediate,"Nguồn: https://www.baeldung.com/java-17-new-features - Tổng hợp các thay đổi và JEP đáng chú ý trong Java 17 để phục vụ nâng cấp lên bản LTS.","Java 17;LTS;JEPs;Sealed Classes;InstantSource","Biết đọc bài tổng hợp để xác định thay đổi đáng quan tâm;Hiểu tác động của Java 17 tới codebase đang dùng Java cũ;Biết liên hệ tính năng với chiến lược nâng cấp","Nhầm bài tổng hợp với nguồn chuẩn chính thức;Chỉ đọc headline mà không kiểm tra JEP hoặc release note gốc","Tính năng nào của Java 17 tác động trực tiếp nhất tới backend service?;Khi nâng cấp lên Java 17 cần kiểm tra những gì?","Lập checklist migration từ Java 8 hoặc Java 11 lên Java 17 cho dự án.",true,0.91
int_doc_sql_01,1.0.0,approved,vi,backend,sql-fundamentals,backend-engineer;data-engineer;database-engineer,junior;mid,intermediate,"Nguồn: https://www.postgresql.org/docs/current/sql.html - Phần SQL Language của PostgreSQL để học cú pháp SQL, DDL, DML, query, join, index và transaction ở mức nền tảng và thực hành.","SQL Syntax;DDL;DML;JOIN;GROUP BY;Subquery;CTE;Index;Transaction","Giải thích khác nhau giữa SELECT, INSERT, UPDATE, DELETE;Viết được truy vấn có JOIN, GROUP BY và CTE;Hiểu vai trò của index và transaction trong hiệu năng và tính nhất quán","Nhầm lẫn giữa WHERE và HAVING;Dùng SELECT * bừa bãi;Không hiểu ảnh hưởng của transaction isolation và locking","Khi nào nên dùng CTE thay vì subquery?;Index nào hữu ích nhất cho truy vấn lọc và sắp xếp?","Soạn bộ câu hỏi SQL phỏng vấn theo 3 mức cơ bản, trung bình và nâng cao kèm ví dụ truy vấn.",true,0.98
int_doc_docker_01,1.0.0,approved,vi,devops,docker-fundamentals,devops-engineer;backend-engineer;platform-engineer,junior;mid,intermediate,"Nguồn: https://docs.docker.com/reference/ - Tài liệu reference chính thức của Docker về Dockerfile, Compose, CLI, Engine API và các định dạng liên quan.","Dockerfile;Compose;Docker CLI;Images;Containers;Volumes;Networks","Giải thích sự khác nhau giữa image và container;Viết Dockerfile và Compose cơ bản;Hiểu volume, network và lifecycle của container","Nhầm image với container;Không tối ưu layer trong Dockerfile;Bỏ qua healthcheck và cấu hình runtime khi deploy","Khi nào nên dùng multi-stage build?;Compose khác gì so với chạy nhiều container thủ công?","Thiết kế một Dockerfile production-ready cho service backend và mô tả cách build, run, inspect và cleanup.",true,0.99
int_doc_git_01,1.0.0,approved,vi,tools,git-fundamentals,backend-engineer;frontend-engineer;devops-engineer,junior;mid,intermediate,"Nguồn: https://git-scm.com/docs - Tài liệu chính thức của Git cho các lệnh setup, snapshotting, branching, sharing, inspection và debugging.","git add;git commit;git branch;git merge;git rebase;git stash;git log;git diff;git pull;git push","Giải thích được staging area và commit history;Phân biệt merge và rebase;Sử dụng log, diff, stash và branch để quản lý thay đổi an toàn","Rebase nhầm lên nhánh public gây lịch sử khó theo dõi;Dùng commit message mơ hồ;Không kiểm tra trạng thái trước khi pull/push","Khi nào nên dùng merge thay vì rebase?;Làm sao xử lý merge conflict an toàn?","Tạo hướng dẫn quy trình Git chuẩn cho team gồm branch strategy, commit convention và xử lý conflict.",true,0.97
int_doc_linux_01,1.0.0,approved,vi,infrastructure,linux-basics,backend-engineer;devops-engineer;platform-engineer,junior;mid,intermediate,"Nguồn: https://man7.org/linux/man-pages/ - Cơ sở tra cứu man pages cho lệnh và hệ thống Linux; phù hợp để ôn các kỹ năng shell, process, permissions và system calls phục vụ phỏng vấn.","Filesystem;Permissions;Processes;Signals;Pipes;Redirection;System Calls;Networking Basics","Giải thích quyền file và nhóm người dùng;Dùng các lệnh cơ bản để xem process, log và network;Hiểu pipes, redirection và tín hiệu ở mức thực hành","Không phân biệt user, group và others khi đọc quyền file;Dùng kill sai tín hiệu;Không hiểu sự khác nhau giữa pipe và redirect","Lệnh nào nên dùng để xem process và tài nguyên đang chiếm dụng?;Khi nào cần dùng signal thay vì dừng tiến trình trực tiếp?","Soạn bộ câu hỏi Linux phỏng vấn theo các chủ đề filesystem, process, permission và networking cơ bản.",true,0.98
